TRIP_ID,TRAVEL_TIME
T1,359.672003968254
T2,687.130515873016
T3,792.6479358141859
T4,364.26538059163073
T5,231.64437950937906
T6,1262.6653571428574
T7,495.66710317460314
T8,423.741711760462
T9,789.2329464979465
T10,475.83108225108236
T11,273.1535263347763
T12,427.4563672438671
T13,274.9571388333887
T14,2111.808870851372
T15,880.0406800144299
T16,751.0015313852814
T17,500.81227994227993
T18,283.30794261294284
T19,597.3415548340549
T20,1682.7443199855697
T21,309.4083333333335
T22,362.67982142857136
T23,450.40226190476216
T24,264.18898809523785
T25,350.53770382395385
T26,386.33331349206327
T27,478.7708928571428
T28,225.17912157287162
T29,898.1479563492064
T30,639.3911634199134
T31,815.7923015873016
T32,535.6145292207792
T33,683.8937103174603
T34,227.9388383838383
T35,878.8924494949495
T36,1568.0537655400158
T37,384.17445707070704
T38,504.6181475468976
T39,299.0954852092353
T40,445.09651154401166
T41,858.7091865079365
T42,303.01415903540976
T43,828.4271626984129
T44,1081.0361093073593
T45,393.95417027417
T46,331.01561410811405
T47,592.0551966089464
T48,417.732922077922
T49,719.7954960317461
T50,966.8230296092795
T51,277.6370436507937
T52,443.2448412698414
T53,429.425036075036
T54,821.631838023088
T55,709.2585317460317
T56,519.4039754689754
T57,927.2256547619047
T58,429.667536075036
T59,2200.2809776334784
T60,721.192113997114
T61,405.2142424242423
T62,350.95696026196026
T63,417.09345238095233
T64,555.467738095238
T65,468.0682539682537
T66,1066.2136154123657
T67,580.6586544011544
T68,873.6955627705629
T69,748.1731547619048
T70,318.6686796536798
T71,1173.7152182539685
T72,892.9899729437229
T73,353.06952380952396
T74,382.6340061327563
T75,975.6667658730157
T76,439.5648484848485
T77,361.01139430014393
T78,719.6033297258298
T79,427.95264610389586
T80,1177.4026984126983
T81,690.8781150793652
T82,432.3027976190474
T83,790.0343253968254
T84,794.4333957708958
T85,538.143630952381
T86,781.3996242646242
T87,954.0264303751804
T88,874.9292099567099
T90,919.7124206349206
T91,843.979255050505
T92,1003.8431150793649
T93,845.7186904761904
T94,775.696727994228
T95,583.9352626540125
T96,567.9046825396825
T98,2008.8927236652235
T99,932.8847637085137
T100,1041.3789484126985
T101,483.1384902597404
T102,1023.8298196248197
T103,936.1228192640692
T104,823.826746031746
T107,1014.8824603174603
T109,516.320171356421
T110,466.43119311244305
T111,433.5589484126983
T112,582.9831547619046
T113,1257.854825036075
T114,371.44648629148617
T115,583.9352626540125
T116,629.6866901154401
T117,634.8412283549784
T118,482.7548647186148
T119,524.8357142857143
T120,579.3576623376622
T121,572.207622100122
T122,1021.1360479797978
T123,837.6963077200577
T124,955.5091468253967
T125,351.567031024531
T126,700.582702020202
T127,333.45435786435803
T128,278.8908623321121
T129,515.4232287157289
T130,962.3336562049062
T131,1184.6245147907648
T132,715.2264141414141
T133,654.9856746031746
T134,626.6126587301585
T135,759.5421153846154
T136,418.73878427128454
T137,879.6594480519481
T138,1483.7653950216445
T139,500.36649531024517
T140,495.8179365079364
T141,844.4143650793651
T142,732.1518037518038
T143,792.5310624098124
T144,655.5592797480298
T145,767.2942857142857
T146,574.5141738816739
T147,461.94837024087036
T148,1170.1389502164504
T149,1840.8037500000003
T151,516.1659722222223
T152,490.0419874569876
T153,407.67275793650805
T154,1108.454534632035
T155,739.8889177489177
T156,1111.9555753968255
T157,515.5882539682539
T158,398.94862012987
T159,489.64464826839816
T160,412.03904581529576
T161,870.9910714285714
T162,469.5775378787877
T163,473.12507034632057
T164,297.67030844155863
T166,818.8691197691197
T167,534.6727319902318
T168,611.5416468253967
T169,828.2150974025974
T170,547.7662463924963
T171,839.084384920635
T172,440.1304960317457
T173,1012.1453373015872
T174,1435.6762752525256
T175,424.2840277777777
T176,233.99643217893197
T177,339.14976551226573
T178,1207.4331836219335
T179,1158.9752904040404
T180,388.42896825396815
T181,1777.7555501443005
T182,243.28664682539693
T183,227.6475234487732
T184,1287.5458333333331
T185,322.297813852814
T186,1009.3920238095238
T187,557.8470003607504
T188,971.7609072871572
T189,340.4418524531032
T190,574.0345039682541
T191,318.3388816738819
T192,625.1995202020202
T193,206.17952741702732
T194,544.0316666666666
T195,293.5031782106783
T196,377.1524580974584
T197,1942.007108724609
T198,473.09714826839803
T199,818.4595634920636
T200,384.82419552669563
T201,581.1678174603176
T202,827.4811904761905
T203,402.0018145743147
T204,320.78655122655147
T205,604.3526587301587
T206,637.2332467532468
T207,1340.2992676767676
T208,1407.29693001443
T209,367.58287337662324
T210,450.6182341269843
T211,1901.883154761905
T212,364.44295634920655
T213,580.2654004329004
T214,764.290753968254
T215,352.63600829725846
T216,390.6910533910533
T217,1900.0132142857146
T218,1485.9303174603172
T219,404.72889568764606
T220,2497.0308297258275
T221,398.9714015151516
T222,918.588685064935
T223,1792.3850992063499
T224,915.8714989177489
T225,1535.0348809523805
T226,480.56739538239555
T227,520.0996818459316
T228,2564.361834554334
T229,1046.302481962482
T230,1148.5146284271282
T231,1021.8094787157287
T232,266.30907828282824
T233,559.8775667388168
T234,417.3238816738817
T235,489.4898863636361
T236,270.00762987012956
T237,472.79367216117214
T238,714.0353174603175
T239,682.5463293650794
T240,563.4756583694084
T241,744.5178553391053
T242,487.7800198412698
T243,489.7502092352091
T244,398.75305014430046
T245,591.7466829004328
T246,689.2835443722944
T247,591.8716810966811
T248,507.2463365800862
T249,429.8380483405486
T250,497.7788517038518
T251,336.91129689754626
T252,493.63885101010084
T253,642.5351785714286
T254,308.2188798701298
T255,862.001884920635
T256,641.3066666666667
T257,672.5262031024531
T258,334.9395039682536
T259,536.966746031746
T260,791.1659902597403
T261,620.069990981241
T262,651.4924134199133
T263,475.2203693528693
T264,373.49032287157297
T265,596.2820328282828
T266,250.38091630591646
T267,404.3205501443004
T268,505.4411778499276
T269,364.7765079365079
T270,680.2912301587301
T271,608.262472943723
T272,363.57348484848507
T273,390.6690818903321
T274,418.86505411255433
T275,381.5800342712845
T276,676.0867947330447
T277,768.2453715728716
T278,495.7589373126874
T279,421.05249819624794
T280,994.9754707792205
T281,451.08426046176055
T282,438.93236111111094
T283,335.54556998556967
T284,358.1226208513708
T285,331.22829365079366
T286,485.90271645021636
T287,417.64378066378055
T288,498.663703102453
T289,400.42564574314554
T290,502.95182539682526
T291,395.04595238095277
T292,713.2563852813853
T293,866.1515548340549
T294,458.8556944444444
T295,538.985367965368
T296,493.00380952380954
T297,480.07386002886005
T298,436.4288131313131
T299,1894.0179761904758
T300,801.3595256132757
T301,1153.707923881674
T302,651.0970165945166
T303,330.4453300865799
T304,369.2980772005774
T305,579.9894570707072
T306,414.71047619047613
T307,1196.9691937229438
T308,1769.3529401154392
T309,570.0027579365079
T310,388.6102398989899
T311,1490.8390800865805
T312,524.1712698412698
T313,519.5321825396825
T314,471.965001803752
T315,469.5814141414142
T316,441.1700883838384
T317,508.3805952380952
T318,476.640183982684
T319,1051.338095238095
T320,464.52863455988444
T321,2619.006224747476
T322,1072.2254725829723
T323,871.8447691197691
T324,1263.3519047619045
T325,329.92327561327545
T326,398.76084956709946
T327,947.2489484126982
